Item,Price,Weight
1,42,76
2,554,40
3,526,5
4,260,100
5,694,40
6,871,47
7,898,52
8,352,90
9,935,53
10,771,47
11,838,36
12,431,92
13,378,8
14,361,46
15,478,42
16,657,93
17,474,86
18,341,60
19,985,37
20,901,40
21,490,15
22,518,55
23,653,60
24,896,83
25,842,87
26,500,64
27,774,48
28,810,59
29,849,22
30,427,29
31,723,31
32,625,57
33,582,16
34,132,57
35,523,3
36,545,95
37,793,38
38,335,64
39,475,80
40,27,71
41,511,30
42,619,52
43,764,50
44,564,9
45,522,89
46,660,47
47,820,26
48,885,48
49,799,58
50,363,89
51,848,16
52,960,90
53,4,80
54,21,27
55,465,49
56,579,11
57,220,21
58,78,21
59,774,56
60,568,47
61,348,60
62,763,52
63,817,98
64,181,71
65,192,49
66,465,29
67,857,83
68,32,85
69,308,68
70,282,65
71,769,51
72,525,48
73,359,11
74,987,51
75,919,32
76,217,95
77,758,50
78,698,66
79,195,73
80,149,11
81,6,2
82,571,49
83,904,13
84,858,48
85,503,63
86,7,13
87,125,99
88,510,46
89,165,94
90,372,89
91,689,86
92,628,68
93,62,29
94,267,37
95,722,50
96,779,24
97,43,92
98,194,36
99,255,80
100,690,93
101,2,6
102,63,92
103,538,26
104,982,55
105,962,6
106,512,73
107,71,26
108,175,53
109,444,89
110,561,52
111,607,48
112,149,47
113,746,13
114,884,6
115,550,98
116,183,97
117,981,91
118,365,45
119,720,54
120,91,99
121,121,3
122,661,48
123,805,28
124,364,39
125,899,69
126,34,43
127,438,26
128,596,73
129,155,19
130,607,19
131,113,55
132,314,58
133,253,92
134,985,81
135,28,70
136,967,50
137,824,17
138,769,35
139,43,40
140,135,80
141,888,21
142,764,72
143,226,81
144,235,44
145,532,3
146,498,24
147,384,47
148,728,58
149,141,10
150,549,22
151,985,58
152,199,9
153,408,1
154,69,17
155,776,79
156,131,67
157,789,86
158,176,37
159,852,48
160,978,100
161,493,92
162,544,44
163,379,91
164,966,94
165,27,42
166,735,26
167,472,17
168,998,81
169,353,81
170,873,81
171,329,49
172,604,1
173,595,27
174,504,80
175,479,24
176,429,50
177,451,67
178,597,53
179,176,29
180,659,33
181,479,59
182,236,20
183,388,72
184,373,73
185,775,26
186,38,26
187,874,32
188,528,6
189,833,55
190,736,56
191,448,13
192,263,17
193,248,59
194,212,77
195,341,33
196,191,93
197,50,9
198,115,67
199,53,7
200,64,35
201,512,78
202,605,87
203,176,32
204,127,24
205,39,65
206,784,25
207,450,82
208,549,71
209,250,2
210,665,67
211,400,48
212,344,5
213,863,65
214,753,4
215,959,66
216,283,24
217,105,71
218,25,97
219,191,84
220,465,75
221,847,34
222,86,57
223,199,70
224,531,19
225,176,14
226,139,30
227,486,64
228,116,43
229,788,30
230,302,91
231,693,94
232,254,33
233,161,90
234,764,61
235,917,16
236,13,19
237,229,50
238,581,24
239,124,26
240,639,16
241,21,32
242,157,83
243,569,87
244,405,77
245,815,84
246,255,14
247,45,73
248,744,93
249,624,61
250,792,64
251,64,13
252,927,3
253,403,54
254,613,17
255,537,16
256,97,65
257,486,99
258,347,23
259,639,24
260,621,71
261,478,26
262,532,96
263,263,22
264,233,34
265,927,16
266,924,89
267,810,62
268,763,86
269,343,69
270,350,75
271,655,2
272,941,10
273,592,2
274,54,3
275,69,34
276,410,1
277,554,47
278,245,81
279,773,86
280,698,87
281,97,9
282,418,89
283,806,52
284,322,2
285,861,48
286,348,75
287,599,30
288,211,13
289,357,67
290,231,1
291,519,23
292,315,25
293,828,94
294,636,16
295,230,70
296,195,26
297,965,11
298,971,68
299,208,60
300,333,42
301,751,66
302,805,91
303,137,95
304,861,87
305,469,90
306,702,16
307,447,25
308,584,27
309,1,27
310,106,90
311,577,29
312,401,33
313,563,100
314,220,8
315,913,47
316,516,30
317,177,33
318,935,54
319,456,57
320,312,47
321,240,31
322,531,52
323,1000,56
324,290,87
325,591,64
326,508,46
327,45,95
328,876,95
329,923,72
330,137,28
331,281,66
332,368,90
333,48,88
334,779,31
335,413,24
336,441,8
337,327,73
338,480,88
339,969,50
340,236,64
341,640,9
342,871,10
343,199,12
344,975,13
345,682,9
346,403,69
347,481,63
348,258,9
349,429,92
350,893,34
351,84,90
352,107,19
353,590,21
354,493,26
355,507,47
356,91,32
357,726,32
358,552,7
359,253,38
360,32,95
361,892,13
362,120,95
363,505,99
364,524,43
365,635,4
366,440,21
367,447,44
368,522,32
369,140,34
370,686,100
371,491,75
372,956,19
373,138,24
374,285,77
375,417,18
376,302,84
377,370,4
378,419,37
379,731,82
380,466,36
381,36,87
382,536,12
383,282,53
384,478,32
385,276,78
386,112,72
387,580,73
388,765,53
389,123,32
390,159,93
391,916,96
392,730,74
393,770,26
394,229,20
395,630,13
396,419,25
397,560,75
398,822,15
399,905,37
400,8,54
401,758,9
402,420,47
403,614,44
404,201,68
405,162,69
406,866,44
407,876,57
408,282,84
409,501,96
410,826,7
411,986,56
412,989,33
413,760,59
414,121,14
415,3,80
416,227,1
417,162,67
418,36,42
419,671,63
420,121,6
421,411,55
422,329,70
423,119,90
424,770,80
425,94,22
426,48,50
427,703,75
428,126,84
429,362,40
430,475,10
431,613,57
432,738,90
433,803,36
434,591,20
435,344,24
436,930,66
437,235,67
438,830,55
439,706,87
440,124,11
441,997,96
442,551,48
443,449,63
444,128,67
445,206,66
446,328,57
447,501,29
448,626,61
449,68,84
450,922,37
451,35,68
452,820,37
453,792,89
454,400,66
455,931,3
456,485,61
457,492,34
458,874,76
459,749,97
460,874,51
461,711,32
462,622,59
463,821,10
464,870,28
465,959,16
466,457,22
467,375,23
468,831,80
469,305,44
470,663,62
471,135,65
472,163,59
473,162,1
474,860,99
475,973,18
476,634,72
477,193,5
478,36,78
479,620,36
480,696,19
481,908,43
482,873,13
483,86,83
484,805,84
485,988,40
486,878,20
487,322,72
488,842,36
489,373,52
490,600,55
491,285,29
492,354,27
493,226,15
494,170,41
495,329,58
496,869,81
497,302,57
498,492,60
499,904,89
500,83,15
501,817,38
502,242,88
503,882,13
504,311,18
505,237,21
506,286,87
507,236,49
508,512,59
509,242,23
510,752,97
511,466,40
512,235,34
513,869,51
514,283,56
515,51,44
516,727,41
517,192,48
518,60,27
519,410,8
520,141,74
521,22,37
522,772,20
523,481,41
524,348,78
525,491,95
526,169,71
527,389,10
528,183,5
529,163,8
530,652,18
531,688,84
532,446,87
533,976,100
534,693,47
535,179,66
536,152,20
537,405,99
538,146,55
539,940,69
540,831,37
541,347,97
542,568,38
543,290,54
544,916,48
545,389,34
546,111,80
547,834,75
548,709,70
549,331,43
550,401,80
551,658,32
552,634,72
553,391,71
554,729,27
555,184,4
556,297,45
557,80,77
558,136,90
559,165,24
560,656,7
561,559,17
562,286,64
563,642,40
564,904,35
565,842,56
566,36,38
567,660,19
568,611,80
569,994,51
570,29,58
571,578,70
572,325,69
573,636,86
574,836,87
575,998,47
576,772,74
577,900,95
578,391,87
579,954,63
580,904,60
581,506,18
582,267,79
583,20,87
584,746,44
585,186,37
586,470,81
587,795,65
588,897,38
589,194,5
590,146,96
591,846,88
592,607,66
593,356,82
594,513,87
595,614,19
596,90,72
597,645,85
598,447,62
599,927,57
600,958,46
601,560,97
602,395,14
603,730,52
604,734,33
605,463,3
606,109,65
607,882,18
608,511,28
609,385,95
610,830,18
611,220,45
612,661,78
613,930,8
614,878,3
615,292,37
616,327,45
617,599,71
618,945,74
619,844,93
620,656,40
621,368,61
622,397,16
623,382,1
624,190,76
625,501,98
626,842,46
627,897,70
628,157,46
629,362,11
630,420,7
